,model,HORIZON,BETA,ll
0,no discount,0.0,0.0,-2239.77
1,no discount,0.0,0.09090909090909091,-2239.77
2,no discount,0.0,0.18181818181818182,-2239.77
3,no discount,0.0,0.2727272727272727,-2239.77
4,no discount,0.0,0.36363636363636365,-2239.77
5,no discount,0.0,0.45454545454545453,-2239.77
6,no discount,0.0,0.5454545454545454,-2239.77
7,no discount,0.0,0.6363636363636364,-2239.77
8,no discount,0.0,0.7272727272727273,-2239.77
9,no discount,0.0,0.8181818181818182,-2239.77
10,no discount,0.0,0.9090909090909091,-2239.77
11,no discount,0.0,1.0,-2239.77
12,no discount,9.545454545454545,0.0,-2239.77
13,no discount,9.545454545454545,0.09090909090909091,-2211.04
14,no discount,9.545454545454545,0.18181818181818182,-2205.42
15,no discount,9.545454545454545,0.2727272727272727,-2220.03
16,no discount,9.545454545454545,0.36363636363636365,-2251.27
17,no discount,9.545454545454545,0.45454545454545453,-2295.73
18,no discount,9.545454545454545,0.5454545454545454,-2350.64
19,no discount,9.545454545454545,0.6363636363636364,-2413.87
20,no discount,9.545454545454545,0.7272727272727273,-2483.85
21,no discount,9.545454545454545,0.8181818181818182,-2537.31
22,no discount,9.545454545454545,0.9090909090909091,-2579.07
23,no discount,9.545454545454545,1.0,-2623.36
24,no discount,19.09090909090909,0.0,-2239.77
25,no discount,19.09090909090909,0.09090909090909091,-2200.23
26,no discount,19.09090909090909,0.18181818181818182,-2190.79
27,no discount,19.09090909090909,0.2727272727272727,-2207.48
28,no discount,19.09090909090909,0.36363636363636365,-2245.37
29,no discount,19.09090909090909,0.45454545454545453,-2299.87
30,no discount,19.09090909090909,0.5454545454545454,-2367.27
31,no discount,19.09090909090909,0.6363636363636364,-2444.78
32,no discount,19.09090909090909,0.7272727272727273,-2530.37
33,no discount,19.09090909090909,0.8181818181818182,-2590.2
34,no discount,19.09090909090909,0.9090909090909091,-2631.52
35,no discount,19.09090909090909,1.0,-2676.19
36,no discount,28.636363636363637,0.0,-2239.77
37,no discount,28.636363636363637,0.09090909090909091,-2197.44
38,no discount,28.636363636363637,0.18181818181818182,-2185.97
39,no discount,28.636363636363637,0.2727272727272727,-2201.07
40,no discount,28.636363636363637,0.36363636363636365,-2237.48
41,no discount,28.636363636363637,0.45454545454545453,-2290.34
42,no discount,28.636363636363637,0.5454545454545454,-2355.76
43,no discount,28.636363636363637,0.6363636363636364,-2430.87
44,no discount,28.636363636363637,0.7272727272727273,-2513.63
45,no discount,28.636363636363637,0.8181818181818182,-2567.42
46,no discount,28.636363636363637,0.9090909090909091,-2600.25
47,no discount,28.636363636363637,1.0,-2636.71
48,no discount,38.18181818181818,0.0,-2239.77
49,no discount,38.18181818181818,0.09090909090909091,-2199.77
50,no discount,38.18181818181818,0.18181818181818182,-2190.65
51,no discount,38.18181818181818,0.2727272727272727,-2207.91
52,no discount,38.18181818181818,0.36363636363636365,-2246.09
53,no discount,38.18181818181818,0.45454545454545453,-2300.16
54,no discount,38.18181818181818,0.5454545454545454,-2366.17
55,no discount,38.18181818181818,0.6363636363636364,-2441.24
56,no discount,38.18181818181818,0.7272727272727273,-2523.36
57,no discount,38.18181818181818,0.8181818181818182,-2575.34
58,no discount,38.18181818181818,0.9090909090909091,-2605.43
59,no discount,38.18181818181818,1.0,-2638.94
60,no discount,47.72727272727273,0.0,-2239.77
61,no discount,47.72727272727273,0.09090909090909091,-2202.65
62,no discount,47.72727272727273,0.18181818181818182,-2196.64
63,no discount,47.72727272727273,0.2727272727272727,-2217.16
64,no discount,47.72727272727273,0.36363636363636365,-2258.63
65,no discount,47.72727272727273,0.45454545454545453,-2315.97
66,no discount,47.72727272727273,0.5454545454545454,-2385.17
67,no discount,47.72727272727273,0.6363636363636364,-2463.35
68,no discount,47.72727272727273,0.7272727272727273,-2548.51
69,no discount,47.72727272727273,0.8181818181818182,-2602.56
70,no discount,47.72727272727273,0.9090909090909091,-2633.99
71,no discount,47.72727272727273,1.0,-2668.84
72,no discount,57.27272727272727,0.0,-2239.77
73,no discount,57.27272727272727,0.09090909090909091,-2207.88
74,no discount,57.27272727272727,0.18181818181818182,-2207.71
75,no discount,57.27272727272727,0.2727272727272727,-2234.62
76,no discount,57.27272727272727,0.36363636363636365,-2283.04
77,no discount,57.27272727272727,0.45454545454545453,-2347.84
78,no discount,57.27272727272727,0.5454545454545454,-2425.03
79,no discount,57.27272727272727,0.6363636363636364,-2511.73
80,no discount,57.27272727272727,0.7272727272727273,-2605.94
81,no discount,57.27272727272727,0.8181818181818182,-2668.3
82,no discount,57.27272727272727,0.9090909090909091,-2707.65
83,no discount,57.27272727272727,1.0,-2751.11
84,no discount,66.81818181818181,0.0,-2239.77
85,no discount,66.81818181818181,0.09090909090909091,-2213.57
86,no discount,66.81818181818181,0.18181818181818182,-2220.06
87,no discount,66.81818181818181,0.2727272727272727,-2254.61
88,no discount,66.81818181818181,0.36363636363636365,-2311.62
89,no discount,66.81818181818181,0.45454545454545453,-2385.93
90,no discount,66.81818181818181,0.5454545454545454,-2473.53
91,no discount,66.81818181818181,0.6363636363636364,-2571.48
92,no discount,66.81818181818181,0.7272727272727273,-2677.75
93,no discount,66.81818181818181,0.8181818181818182,-2752.94
94,no discount,66.81818181818181,0.9090909090909091,-2805.81
95,no discount,66.81818181818181,1.0,-2863.66
96,no discount,76.36363636363636,0.0,-2239.77
97,no discount,76.36363636363636,0.09090909090909091,-2218.95
98,no discount,76.36363636363636,0.18181818181818182,-2232.18
99,no discount,76.36363636363636,0.2727272727272727,-2274.8
100,no discount,76.36363636363636,0.36363636363636365,-2341.15
101,no discount,76.36363636363636,0.45454545454545453,-2426.01
102,no discount,76.36363636363636,0.5454545454545454,-2525.28
103,no discount,76.36363636363636,0.6363636363636364,-2635.97
104,no discount,76.36363636363636,0.7272727272727273,-2755.95
105,no discount,76.36363636363636,0.8181818181818182,-2845.72
106,no discount,76.36363636363636,0.9090909090909091,-2913.95
107,no discount,76.36363636363636,1.0,-2987.86
108,no discount,85.9090909090909,0.0,-2239.77
109,no discount,85.9090909090909,0.09090909090909091,-2222.97
110,no discount,85.9090909090909,0.18181818181818182,-2241.45
111,no discount,85.9090909090909,0.2727272727272727,-2290.49
112,no discount,85.9090909090909,0.36363636363636365,-2364.36
113,no discount,85.9090909090909,0.45454545454545453,-2457.76
114,no discount,85.9090909090909,0.5454545454545454,-2566.47
115,no discount,85.9090909090909,0.6363636363636364,-2687.41
116,no discount,85.9090909090909,0.7272727272727273,-2818.33
117,no discount,85.9090909090909,0.8181818181818182,-2919.34
118,no discount,85.9090909090909,0.9090909090909091,-2999.1
119,no discount,85.9090909090909,1.0,-3084.95
120,no discount,95.45454545454545,0.0,-2239.77
121,no discount,95.45454545454545,0.09090909090909091,-2225.44
122,no discount,95.45454545454545,0.18181818181818182,-2247.36
123,no discount,95.45454545454545,0.2727272727272727,-2300.75
124,no discount,95.45454545454545,0.36363636363636365,-2379.8
125,no discount,95.45454545454545,0.45454545454545453,-2479.11
126,no discount,95.45454545454545,0.5454545454545454,-2594.39
127,no discount,95.45454545454545,0.6363636363636364,-2722.44
128,no discount,95.45454545454545,0.7272727272727273,-2860.95
129,no discount,95.45454545454545,0.8181818181818182,-2969.93
130,no discount,95.45454545454545,0.9090909090909091,-3057.97
131,no discount,95.45454545454545,1.0,-3152.35
132,no discount,105.0,0.0,-2239.77
133,no discount,105.0,0.09090909090909091,-2226.17
134,no discount,105.0,0.18181818181818182,-2249.15
135,no discount,105.0,0.2727272727272727,-2303.89
136,no discount,105.0,0.36363636363636365,-2384.57
137,no discount,105.0,0.45454545454545453,-2485.76
138,no discount,105.0,0.5454545454545454,-2603.14
139,no discount,105.0,0.6363636363636364,-2733.47
140,no discount,105.0,0.7272727272727273,-2874.41
141,no discount,105.0,0.8181818181818182,-2985.94
142,no discount,105.0,0.9090909090909091,-3076.62
143,no discount,105.0,1.0,-3173.72
